Well,450,450[2],450[3]
A1,0.057,0.057,0.057
B1,0.057,0.057,0.057
C1,0.057,0.057,0.057
D1,0.051,0.051,0.051
E1,0.051,0.051,0.051
F1,0.059,0.059,0.059
G1,0.06,0.06,0.06
H1,0.061,0.061,0.061
A2,0.057,0.057,0.057
B2,0.057,0.057,0.057
C2,0.057,0.056,0.056
D2,0.051,0.051,0.051
E2,0.051,0.051,0.051
F2,0.064,0.064,0.064
G2,0.064,0.064,0.064
H2,0.062,0.062,0.062
A3,0.057,0.057,0.057
B3,0.058,0.058,0.058
C3,0.056,0.056,0.056
D3,0.051,0.051,0.051
E3,0.051,0.051,0.051
F3,0.154,0.154,0.154
G3,0.143,0.143,0.143
H3,0.136,0.136,0.136
A4,0.076,0.076,0.076
B4,0.085,0.085,0.085
C4,0.068,0.068,0.068
D4,0.051,0.051,0.051
E4,0.049,0.049,0.049
F4,0.329,0.329,0.33
G4,0.211,0.211,0.211
H4,0.209,0.209,0.209
A5,0.279,0.278,0.278
B5,0.275,0.274,0.275
C5,0.224,0.224,0.225
D5,0.051,0.051,0.051
E5,0.051,0.051,0.051
F5,0.346,0.346,0.347
G5,0.351,0.351,0.351
H5,0.338,0.338,0.338
A6,0.349,0.348,0.348
B6,0.355,0.354,0.355
C6,0.341,0.341,0.341
D6,0.051,0.051,0.051
E6,0.051,0.051,0.051
F6,0.376,0.376,0.377
G6,0.403,0.403,0.403
H6,0.439,0.439,0.44
A7,0.417,0.415,0.415
B7,0.446,0.445,0.445
C7,0.405,0.405,0.405
D7,0.051,0.051,0.051
E7,0.051,0.051,0.051
F7,0.38,0.38,0.38
G7,0.417,0.417,0.418
H7,0.466,0.466,0.467
A8,0.446,0.444,0.445
B8,0.443,0.442,0.442
C8,0.398,0.398,0.398
D8,0.051,0.05,0.05
E8,0.051,0.051,0.051
F8,0.392,0.392,0.392
G8,0.468,0.468,0.468
H8,0.467,0.467,0.468
A9,0.441,0.44,0.44
B9,0.435,0.434,0.435
C9,0.426,0.425,0.425
D9,0.05,0.05,0.05
E9,0.051,0.051,0.051
F9,0.305,0.305,0.305
G9,0.414,0.414,0.415
H9,0.441,0.441,0.442
A10,0.454,0.453,0.454
B10,0.461,0.46,0.46
C10,0.471,0.472,0.473
D10,0.051,0.051,0.051
E10,0.051,0.051,0.051
F10,0.342,0.342,0.343
G10,0.443,0.444,0.444
H10,0.371,0.371,0.372
A11,0.413,0.412,0.413
B11,0.408,0.407,0.408
C11,0.442,0.442,0.443
D11,0.051,0.051,0.051
E11,0.051,0.051,0.051
F11,0.35,0.351,0.351
G11,0.471,0.472,0.472
H11,0.447,0.448,0.448
A12,0.6,0.599,0.6
B12,0.632,0.63,0.632
C12,0.631,0.632,0.633
D12,0.051,0.051,0.051
E12,0.051,0.051,0.051
F12,0.599,0.601,0.601
G12,0.65,0.651,0.651
H12,0.647,0.648,0.649